KC-OPX-hvn_2,
2.44,0.51917
2.445,0.51851
2.45,0.51822
2.455,0.51847
2.46,0.51812
2.465,0.51864
2.47,0.51848
2.475,0.51861
2.48,0.51847
2.485,0.51863
2.49,0.51877
2.495,0.51916
2.5,0.52106

