Brown University Keck/NASA Relab Spectrum PO-LAM-085-ID/CKPO85,
1.73,0.86836
1.735,0.86656
1.74,0.86687
1.745,0.86683
1.75,0.86966
1.755,0.8663
1.76,0.86708
1.765,0.86985
1.77,0.86802
1.775,0.8664
1.78,0.86856
1.785,0.86949
1.79,0.87085
1.795,0.87181
1.8,0.87313
1.805,0.87039
1.81,0.87069
1.815,0.87139
1.82,0.87147
1.825,0.87286
1.83,0.86986
1.835,0.87024
1.84,0.87145
1.845,0.88067
1.85,0.87557
1.855,0.87933
1.86,0.87675
1.865,0.87463
1.87,0.86511
1.875,0.88447
1.88,0.88457
1.885,0.87637
1.89,0.87579
1.895,0.87151
1.9,0.8663
1.905,0.87329
1.91,0.87532
1.915,0.87132
1.92,0.87669
1.925,0.87677
1.93,0.87507
1.935,0.8764
1.94,0.87386
1.945,0.87614
1.95,0.87331
1.955,0.87171
1.96,0.87545
1.965,0.87542
1.97,0.87561
1.975,0.87489
1.98,0.8698
1.985,0.87076
1.99,0.87151
1.995,0.87444
2,0.87699
2.005,0.87656
2.01,0.87797
2.015,0.87818
2.02,0.87805
2.025,0.87782
2.03,0.87553
2.035,0.87635
2.04,0.87829
2.045,0.87908
2.05,0.8778
2.055,0.87871
2.06,0.87493
2.065,0.87721
2.07,0.87736
2.075,0.87498
2.08,0.87827
2.085,0.88007
2.09,0.87914
2.095,0.87575
2.1,0.87917
2.105,0.87821
2.11,0.87976
2.115,0.87842
2.12,0.87888
2.125,0.87749
2.13,0.87534
2.135,0.87252
2.14,0.87313
2.145,0.87514
2.15,0.87658
2.155,0.87595
2.16,0.87232
2.165,0.87269
2.17,0.87497
2.175,0.87724
2.18,0.87769
2.185,0.87661
2.19,0.87363
2.195,0.87599
2.2,0.87777
2.205,0.87313
2.21,0.87106
2.215,0.87112
2.22,0.87327
2.225,0.87417
2.23,0.87458
2.235,0.87221
2.24,0.87331
2.245,0.8701
2.25,0.86888
2.255,0.8662
2.26,0.86315
2.265,0.85801
2.27,0.85315
2.275,0.84825
2.28,0.8473
2.285,0.84477
2.29,0.84172
2.295,0.83885
2.3,0.83497
2.305,0.83241
2.31,0.83299
2.315,0.83332
2.32,0.83768
2.325,0.8425
2.33,0.84798
2.335,0.85064
2.34,0.85092
2.345,0.85159
2.35,0.8524
2.355,0.85275
2.36,0.85451
2.365,0.85424
2.37,0.85438
2.375,0.85557
2.38,0.85573
2.385,0.85492
2.39,0.85278
2.395,0.85412
2.4,0.8541
2.405,0.85529
2.41,0.85423
2.415,0.85656
2.42,0.85665
2.425,0.85754
2.43,0.85521
2.435,0.85511
2.44,0.85115
2.445,0.84776
2.45,0.84536
2.455,0.83887
2.46,0.83496
2.465,0.83458
2.47,0.83884
2.475,0.84129
2.48,0.84211
2.485,0.84176
2.49,0.84273
2.495,0.84113
2.5,0.84153
2.505,0.84084
2.51,0.8418
2.515,0.84229
2.52,0.84934
2.525,0.84875
2.53,0.84742
2.535,0.8572
2.54,0.86273
2.545,0.8568
2.55,0.87351
2.555,0.86606
2.56,0.85208
2.565,0.87091
2.57,0.88757
2.575,0.88234
2.58,0.88481
2.585,0.86618
2.59,0.88225
2.595,0.89085
2.6,0.90206

