Brown University Keck/NASA Relab Spectrum OC-TXH-019-P/C1OC19P,
1.11,0.239503
1.115,0.239691
1.12,0.239949
1.125,0.240082
1.13,0.240181
1.135,0.240363
1.14,0.240628
1.145,0.240578
1.15,0.240372
1.155,0.240331
1.16,0.240213
1.165,0.240038
1.17,0.240057
1.175,0.239856
1.18,0.23957
1.185,0.239293
1.19,0.239078
1.195,0.239114
1.2,0.239195
1.205,0.239055
1.21,0.238784
1.215,0.238538
1.22,0.238352
1.225,0.238256
1.23,0.237986
1.235,0.237793
1.24,0.237783
1.245,0.23775
1.25,0.237787
1.255,0.237673
1.26,0.237692
1.265,0.237611
1.27,0.23751
1.275,0.237332
1.28,0.237124
1.285,0.236995
1.29,0.236809
1.295,0.236425
1.3,0.236102
1.305,0.236088
1.31,0.235972
1.315,0.235877
1.32,0.236051
1.325,0.235727
1.33,0.235344
1.335,0.235083
1.34,0.235007
1.345,0.234705
1.35,0.234407
1.355,0.234235
1.36,0.233878
1.365,0.233923
1.37,0.233852
1.375,0.233554
1.38,0.233274
1.385,0.233643
1.39,0.233383
1.395,0.233308
1.4,0.232991
1.405,0.232908
1.41,0.233023
1.415,0.233081
1.42,0.232976
1.425,0.232749
1.43,0.232703
1.435,0.232589
1.44,0.23225
1.445,0.231832
1.45,0.231672
1.455,0.231201
1.46,0.230844
1.465,0.23054
1.47,0.230186
1.475,0.229711
1.48,0.229378
1.485,0.229122
1.49,0.228876
1.495,0.228507
1.5,0.228321
1.505,0.227914
1.51,0.227711
1.515,0.227249
1.52,0.226869
1.525,0.226868
1.53,0.226759
1.535,0.226293
1.54,0.225763
1.545,0.225415
1.55,0.22513
1.555,0.224685
1.56,0.224244
1.565,0.223691
1.57,0.223355
1.575,0.223187
1.58,0.222799
1.585,0.222534
1.59,0.22213
1.595,0.221509
1.6,0.221162
1.605,0.220803
1.61,0.22037
1.615,0.219997
1.62,0.219387
1.625,0.218838
1.63,0.218252
1.635,0.217448
1.64,0.216687
1.645,0.216197
1.65,0.215677
1.655,0.215352
1.66,0.214901
1.665,0.214536
1.67,0.213913
1.675,0.213227
1.68,0.212757
1.685,0.212166
1.69,0.21159
1.695,0.211182
1.7,0.210893
1.705,0.210381
1.71,0.209645
1.715,0.209233
1.72,0.208726
1.725,0.208492
1.73,0.20797
1.735,0.207132
1.74,0.206433
1.745,0.205988
1.75,0.205539
1.755,0.205355
1.76,0.204885
1.765,0.204405
1.77,0.203752
1.775,0.203358
1.78,0.203004
1.785,0.202565
1.79,0.202232
1.795,0.201635
1.8,0.201305
1.805,0.200891
1.81,0.200389
1.815,0.200071
1.82,0.199861
1.825,0.199264
1.83,0.198975
1.835,0.198456
1.84,0.198279
1.845,0.197463
1.85,0.197021
1.855,0.196347
1.86,0.195972
1.865,0.19541
1.87,0.19533
1.875,0.195272
1.88,0.19474
1.885,0.194421
1.89,0.194192
1.895,0.193914
1.9,0.193721
1.905,0.193732
1.91,0.192844
1.915,0.192158
1.92,0.191847
1.925,0.191497
1.93,0.191386
1.935,0.190886
1.94,0.190534
1.945,0.190131
1.95,0.19027
1.955,0.190521
1.96,0.190366
1.965,0.190297
1.97,0.18997
1.975,0.189774
1.98,0.189923
1.985,0.18958
1.99,0.189292
1.995,0.188784
2,0.188716
2.005,0.188972
2.01,0.188584
2.015,0.188636
2.02,0.18874
2.025,0.189009
2.03,0.188783
2.035,0.188647
2.04,0.188477
2.045,0.188285
2.05,0.188463
2.055,0.188092
2.06,0.187924
2.065,0.18766
2.07,0.187733
2.075,0.187681
2.08,0.187534
2.085,0.187544
2.09,0.187501
2.095,0.187496
2.1,0.187249
2.105,0.187258
2.11,0.187355
2.115,0.187167
2.12,0.186831
2.125,0.186609
2.13,0.18632
2.135,0.18662
2.14,0.186616
2.145,0.186306
2.15,0.186084
2.155,0.186139
2.16,0.185822
2.165,0.185444
2.17,0.185012
2.175,0.185017
2.18,0.18529
2.185,0.185224
2.19,0.184985
2.195,0.185036
2.2,0.185146
2.205,0.184953
2.21,0.184831
2.215,0.18447
2.22,0.184448
2.225,0.184324
2.23,0.184382
2.235,0.184369
2.24,0.184041
2.245,0.184369
2.25,0.1843
2.255,0.184391
2.26,0.184415
2.265,0.184587
2.27,0.184436
2.275,0.184377
2.28,0.184162
2.285,0.183965
2.29,0.183851
2.295,0.183826
2.3,0.183899
2.305,0.184084
2.31,0.183888
2.315,0.183771
2.32,0.183512
2.325,0.183848
2.33,0.184104
2.335,0.184148
2.34,0.184007
2.345,0.183377
2.35,0.183094
2.355,0.182512
2.36,0.182473
2.365,0.182058
2.37,0.182074
2.375,0.181782
2.38,0.181838
2.385,0.181683
2.39,0.181271
2.395,0.181216
2.4,0.181382
2.405,0.181273
2.41,0.180651
2.415,0.180693
2.42,0.180493
2.425,0.180374
2.43,0.180498
2.435,0.180353
2.44,0.180726
2.445,0.18041
2.45,0.180423
2.455,0.180846
2.46,0.180575
2.465,0.180351
2.47,0.180251
2.475,0.179966
2.48,0.18006
2.485,0.179903
2.49,0.18042
2.495,0.180388
2.5,0.178884

