Brown University Keck/NASA Relab Spectrum OC-TXH-013-P/C1OC13P,
1.585,0.241808
1.59,0.241587
1.595,0.241112
1.6,0.240553
1.605,0.240006
1.61,0.239436
1.615,0.239128
1.62,0.238605
1.625,0.237961
1.63,0.237377
1.635,0.237064
1.64,0.237079
1.645,0.236832
1.65,0.236338
1.655,0.235711
1.66,0.234957
1.665,0.234622
1.67,0.234346
1.675,0.234183
1.68,0.233808
1.685,0.233023
1.69,0.232387
1.695,0.231691
1.7,0.231441
1.705,0.230959
1.71,0.230503
1.715,0.229952
1.72,0.22929
1.725,0.228708
1.73,0.228193
1.735,0.227541
1.74,0.227175
1.745,0.22653
1.75,0.225761
1.755,0.225293
1.76,0.224873
1.765,0.22425
1.77,0.223852
1.775,0.223574
1.78,0.223273
1.785,0.222815
1.79,0.222272
1.795,0.222125
1.8,0.221463
1.805,0.221043
1.81,0.22066
1.815,0.220015
1.82,0.219373
1.825,0.219014
1.83,0.218871
1.835,0.218676
1.84,0.218215
1.845,0.218024
1.85,0.217609
1.855,0.217692
1.86,0.217347
1.865,0.21711
1.87,0.216998
1.875,0.216449
1.88,0.215644
1.885,0.215388
1.89,0.214997
1.895,0.214346
1.9,0.213714
1.905,0.213239
1.91,0.213292
1.915,0.213035
1.92,0.212583
1.925,0.212222
1.93,0.211915
1.935,0.211596
1.94,0.21138
1.945,0.210644
1.95,0.210125
1.955,0.209761
1.96,0.209467
1.965,0.209166
1.97,0.208926
1.975,0.209029
1.98,0.209005
1.985,0.208416
1.99,0.208255
1.995,0.208348
2,0.208089
2.005,0.207751
2.01,0.207732
2.015,0.207427
2.02,0.207618
2.025,0.20749
2.03,0.207408
2.035,0.207378
2.04,0.207733
2.045,0.207614
2.05,0.207563
2.055,0.207332
2.06,0.207093
2.065,0.206862
2.07,0.206663
2.075,0.206092
2.08,0.205955
2.085,0.205664
2.09,0.205188
2.095,0.204844
2.1,0.204599
2.105,0.204435
2.11,0.204274
2.115,0.204136
2.12,0.20398
2.125,0.203513
2.13,0.203576
2.135,0.203467
2.14,0.203589
2.145,0.203515
2.15,0.20294
2.155,0.202758
2.16,0.202709
2.165,0.202512
2.17,0.201961
2.175,0.201682
2.18,0.201389
2.185,0.201484
2.19,0.200951
2.195,0.200702
2.2,0.200579
2.205,0.200346
2.21,0.200455
2.215,0.199822
2.22,0.199872
2.225,0.200108
2.23,0.199965
2.235,0.200015
2.24,0.19989
2.245,0.199979
2.25,0.200135
2.255,0.199783
2.26,0.199499
2.265,0.19932
2.27,0.198671
2.275,0.19868
2.28,0.198554
2.285,0.198117
2.29,0.198289
2.295,0.198279
2.3,0.198463
2.305,0.198048
2.31,0.197706
2.315,0.197401
2.32,0.197367
2.325,0.197007
2.33,0.196872
2.335,0.197064
2.34,0.196388
2.345,0.196471
2.35,0.196236
2.355,0.195751
2.36,0.1953
2.365,0.195014
2.37,0.194579
2.375,0.194693
2.38,0.194298
2.385,0.194283
2.39,0.194163
2.395,0.193768
2.4,0.194013
2.405,0.193711
2.41,0.193646
2.415,0.193595
2.42,0.19351
2.425,0.193423
2.43,0.192509
2.435,0.192932
2.44,0.193077
2.445,0.192768
2.45,0.192478
2.455,0.192535
2.46,0.192336
2.465,0.192111
2.47,0.191576
2.475,0.191687
2.48,0.191336
2.485,0.191271
2.49,0.191523
2.495,0.19112
2.5,0.190801
