KC-OPX-hvn_3,
1.725,0.3023
1.73,0.30137
1.735,0.30043
1.74,0.29952
1.745,0.29847
1.75,0.29764
1.755,0.29663
1.76,0.29579
1.765,0.29503
1.77,0.29436
1.775,0.29376
1.78,0.29325
1.785,0.29273
1.79,0.29228
1.795,0.2918
1.8,0.29128
1.805,0.29087
1.81,0.29043
1.815,0.28999
1.82,0.28961
1.825,0.28937
1.83,0.28916
1.835,0.28898
1.84,0.28917
1.845,0.28928
1.85,0.28944
1.855,0.28979
1.86,0.2902
1.865,0.29057
1.87,0.29079
1.875,0.29163
1.88,0.29219
1.885,0.29264
1.89,0.29317
1.895,0.2939
1.9,0.29468
1.905,0.29565
1.91,0.2966
1.915,0.29789
1.92,0.29925
1.925,0.30083
1.93,0.30235
1.935,0.304
1.94,0.30566
1.945,0.30744
1.95,0.30911
1.955,0.3111
1.96,0.31297
1.965,0.31484
1.97,0.31687
1.975,0.319
1.98,0.32055
1.985,0.32339
1.99,0.32545
1.995,0.32781
2,0.33022
2.005,0.33254
2.01,0.33494
2.015,0.33775
2.02,0.3405
2.025,0.34297
2.03,0.34211
2.035,0.34815
2.04,0.35107
2.045,0.35397
2.05,0.35638
2.055,0.35936
2.06,0.36223
2.065,0.36523
2.07,0.3683
2.075,0.37137
2.08,0.37461
2.085,0.37753
2.09,0.3808
2.095,0.38427
2.1,0.38743
2.105,0.39083
2.11,0.39444
2.115,0.39754
2.12,0.40103
2.125,0.40391
2.13,0.40685
2.135,0.40998
2.14,0.41291
2.145,0.41587
2.15,0.41902
2.155,0.4216
2.16,0.42286
2.165,0.42709
2.17,0.42982
2.175,0.43308
2.18,0.43585
2.185,0.43853
2.19,0.44138
2.195,0.44417
2.2,0.44614
2.205,0.44912
2.21,0.45146
2.215,0.45383
2.22,0.45623
2.225,0.45841
2.23,0.46088
2.235,0.46288
2.24,0.46473
2.245,0.46733
2.25,0.46995
2.255,0.47167
2.26,0.47388
2.265,0.47624
2.27,0.47849
2.275,0.47983
2.28,0.48088
2.285,0.48169
2.29,0.48231
2.295,0.48292
2.3,0.48277
2.305,0.48279
2.31,0.48364
2.315,0.48502
2.32,0.48653
2.325,0.48873
2.33,0.49122
2.335,0.49379
2.34,0.49607
2.345,0.49867
2.35,0.50094
2.355,0.5028
2.36,0.50491
2.365,0.50599
2.37,0.50701
2.375,0.50753
2.38,0.50846
2.385,0.50895
2.39,0.50921
2.395,0.51021
2.4,0.51132
2.405,0.51242
2.41,0.51355
2.415,0.51433
2.42,0.51446
2.425,0.51457
2.43,0.51445
2.435,0.51468
2.44,0.51578
2.445,0.51489
2.45,0.51513
2.455,0.51466
2.46,0.51493
2.465,0.51488
2.47,0.51487
2.475,0.51484
2.48,0.51497
2.485,0.5152
2.49,0.51552
2.495,0.51561
2.5,0.51737

