Brown University Keck/NASA Relab Spectrum PO-LAM-087-ID/CKPO87,
0.965,0.14296
0.97,0.13917
0.975,0.13574
0.98,0.13229
0.985,0.12965
0.99,0.12656
0.995,0.12371
1,0.12111
1.005,0.1192
1.01,0.11734
1.015,0.11538
1.02,0.11417
1.025,0.11253
1.03,0.11135
1.035,0.11072
1.04,0.11045
1.045,0.11029
1.05,0.11033
1.055,0.10988
1.06,0.11032
1.065,0.10966
1.07,0.11048
1.075,0.11111
1.08,0.11205
1.085,0.11276
1.09,0.11413
1.095,0.11502
1.1,0.11625
1.105,0.11816
1.11,0.11998
1.115,0.12221
1.12,0.12427
1.125,0.12685
1.13,0.1293
1.135,0.13106
1.14,0.13379
1.145,0.13555
1.15,0.13784
1.155,0.13993
1.16,0.1408
1.165,0.14223
1.17,0.14382
1.175,0.14561
1.18,0.14778
1.185,0.14961
1.19,0.15048
1.195,0.15111
1.2,0.15321
1.205,0.15439
1.21,0.15579
1.215,0.15766
1.22,0.15846
1.225,0.1596
1.23,0.16095
1.235,0.16254
1.24,0.16453
1.245,0.16589
1.25,0.16746
1.255,0.16908
1.26,0.17053
1.265,0.17261
1.27,0.1759
1.275,0.17942
1.28,0.18226
1.285,0.18562
1.29,0.18944
1.295,0.19354
1.3,0.19692
1.305,0.20145
1.31,0.20641
1.315,0.21057
1.32,0.21531
1.325,0.22035
1.33,0.2254
1.335,0.23092
1.34,0.23601
1.345,0.24145
1.35,0.24892
1.355,0.2548
1.36,0.26151
1.365,0.27067
1.37,0.27762
1.375,0.28707
1.38,0.29096
1.385,0.30401
1.39,0.31179
1.395,0.31966
1.4,0.32538
1.405,0.33599
1.41,0.34702
1.415,0.35572
1.42,0.36604
1.425,0.3744
1.43,0.38306
1.435,0.39288
1.44,0.40149
1.445,0.41316
1.45,0.42215
1.455,0.43208
1.46,0.4419
1.465,0.45056
1.47,0.46127
1.475,0.47048
1.48,0.47954
1.485,0.48988
1.49,0.50007
1.495,0.51009
1.5,0.51969
1.505,0.5294
1.51,0.53806
1.515,0.54768
1.52,0.55523
1.525,0.56206
1.53,0.56956
1.535,0.57664
1.54,0.58489
1.545,0.59282
1.55,0.60243
1.555,0.60973
1.56,0.6161
1.565,0.62182
1.57,0.62822
1.575,0.63437
1.58,0.63966
1.585,0.64451
1.59,0.65066
1.595,0.65588
1.6,0.66036
1.605,0.66484
1.61,0.67381
1.615,0.67493
1.62,0.67855
1.625,0.6829
1.63,0.68607
1.635,0.68814
1.64,0.68985
1.645,0.69301
1.65,0.6949
1.655,0.69279
1.66,0.69787
1.665,0.69807
1.67,0.69865
1.675,0.70378
1.68,0.70552
1.685,0.70643
1.69,0.71072
1.695,0.7091
1.7,0.7089
1.705,0.71148
1.71,0.71288
1.715,0.71407
1.72,0.71343
1.725,0.71613
1.73,0.7152
1.735,0.71698
1.74,0.71657
1.745,0.71931
1.75,0.72075
1.755,0.72176
1.76,0.72244
1.765,0.72442
1.77,0.72484
1.775,0.72464
1.78,0.72578
1.785,0.72568
1.79,0.72677
1.795,0.72822
1.8,0.7278
1.805,0.72786
1.81,0.72743
1.815,0.7251
1.82,0.72794
1.825,0.72892
1.83,0.72794
1.835,0.73133
1.84,0.73044
1.845,0.73471
1.85,0.73254
1.855,0.73519
1.86,0.73414
1.865,0.73284
1.87,0.72555
1.875,0.7387
1.88,0.73943
1.885,0.7314
1.89,0.72974
1.895,0.72692
1.9,0.72106
1.905,0.72511
1.91,0.7257
1.915,0.72366
1.92,0.72324
1.925,0.72589
1.93,0.72355
1.935,0.7252
1.94,0.72438
1.945,0.72592
1.95,0.72534
1.955,0.72439
1.96,0.72666
1.965,0.72546
1.97,0.72591
1.975,0.72732
1.98,0.72865
1.985,0.72818
1.99,0.72822
1.995,0.72885
2,0.72835
2.005,0.72967
2.01,0.72925
2.015,0.72897
2.02,0.72885
2.025,0.72825
2.03,0.72657
2.035,0.7262
2.04,0.72684
2.045,0.72448
2.05,0.72578
2.055,0.72566
2.06,0.72249
2.065,0.72287
2.07,0.72087
2.075,0.72007
2.08,0.71893
2.085,0.71832
2.09,0.71682
2.095,0.71775
2.1,0.71829
2.105,0.71768
2.11,0.7166
2.115,0.71546
2.12,0.71533
2.125,0.71496
2.13,0.71058
2.135,0.70958
2.14,0.70913
2.145,0.70966
2.15,0.70977
2.155,0.7079
2.16,0.70512
2.165,0.70304
2.17,0.70657
2.175,0.70978
2.18,0.71176
2.185,0.71066
2.19,0.70994
2.195,0.70871
2.2,0.70779
2.205,0.70659
2.21,0.70478
2.215,0.70547
2.22,0.70549
2.225,0.70406
2.23,0.70243
2.235,0.70016
2.24,0.69818
2.245,0.69683
2.25,0.69095
2.255,0.68403
2.26,0.67796
2.265,0.67122
2.27,0.66417
2.275,0.66077
2.28,0.6579
2.285,0.65435
2.29,0.64928
2.295,0.64609
2.3,0.64323
2.305,0.64351
2.31,0.64309
2.315,0.64354
2.32,0.64722
2.325,0.65026
2.33,0.65505
2.335,0.65844
2.34,0.65932
2.345,0.65811
2.35,0.65894
2.355,0.65707
2.36,0.65887
2.365,0.65902
2.37,0.65967
2.375,0.65934
2.38,0.65988
2.385,0.65784
2.39,0.65738
2.395,0.65516
2.4,0.65571
2.405,0.65603
2.41,0.65632
2.415,0.65767
2.42,0.66053
2.425,0.66043
2.43,0.65947
2.435,0.65752
2.44,0.65472
2.445,0.64745
2.45,0.64046
2.455,0.63445
2.46,0.63059
2.465,0.62785
2.47,0.6321
2.475,0.6366
2.48,0.63717
2.485,0.63589
2.49,0.63629
2.495,0.63661
2.5,0.63505
2.505,0.63354
2.51,0.63621
2.515,0.63426
2.52,0.63849
2.525,0.63815
2.53,0.63948
2.535,0.64494
2.54,0.65004
2.545,0.641
2.55,0.65188
2.555,0.65237
2.56,0.64013
2.565,0.64622
2.57,0.65729
2.575,0.65096
2.58,0.65628
2.585,0.64259
2.59,0.66178
2.595,0.65569
2.6,0.67484

