OWN_OPX_1,
0.784488544,0.463054484
0.785773734,0.462481091
0.787315963,0.461716568
0.788344115,0.460952044
0.789629305,0.460187521
0.791171534,0.459518563
0.792456724,0.458849605
0.79425599,0.458180647
0.795798219,0.457511689
0.796826371,0.456747165
0.798625637,0.455887076
0.800424904,0.455026988
0.801710094,0.453880202
0.803252323,0.453020113
0.805051589,0.452351155
0.806593817,0.451777763
0.80762197,0.451013239
0.80890716,0.450057585
0.809935312,0.4489108
0.810706426,0.448146276
0.811734579,0.447381753
0.812505693,0.446617229
0.813790883,0.44575714
0.815076073,0.445088182
0.815847188,0.444132528
0.817132378,0.443368005
0.817903492,0.44241235
0.819188682,0.441456696
0.819959797,0.440501042
0.821244987,0.439640953
0.822273139,0.438780864
0.824072406,0.43801634
0.825357596,0.437251817
0.82612871,0.436296163
0.826899824,0.435531639
0.828442053,0.434575985
0.829213167,0.433524765
0.830241319,0.432664676
0.831269471,0.431900153
0.832297624,0.430944498
0.833325776,0.429988844
0.834353928,0.42922432
0.83538208,0.428077535
0.837181347,0.427217446
0.838209499,0.426357357
0.839494689,0.425592834
0.840265804,0.424732745
0.841550994,0.423681525
0.842579146,0.422725871
0.843607298,0.421579086
0.844635451,0.420718997
0.845920641,0.419572212
0.846691755,0.418520992
0.847719907,0.417374207
0.84874806,0.416227421
0.849776212,0.415462898
0.850290288,0.414698375
0.85131844,0.413838286
0.852346593,0.413073762
0.853374745,0.412213673
0.854659935,0.411258019
0.855688087,0.410493495
0.857230316,0.409920103
0.858515506,0.408964449
0.859543658,0.408008794
0.860828849,0.407244271
0.862371077,0.406097486
0.863399229,0.405046266
0.864941458,0.403995046
0.866226648,0.403039392
0.867768876,0.402083737
0.869311105,0.401319214
0.870596295,0.40055469
0.871624447,0.399599036
0.8726526,0.398643382
0.874194828,0.397974424
0.875737056,0.396923204
0.877793361,0.396349811
0.879078551,0.395298592
0.880877818,0.394820764
0.882934122,0.393960675
0.88447635,0.393482848
0.886275617,0.392909456
0.888074883,0.392336063
0.890131188,0.39157154
0.891673416,0.390998147
0.893729721,0.39052032
0.896043063,0.390042493
0.898870482,0.389755796
0.901440863,0.389564665
0.903497167,0.389564665
0.906581624,0.389564665
0.908637928,0.389851362
0.910694233,0.390042493
0.912750537,0.390424754
0.914806842,0.390998147
0.916863146,0.39157154
0.918919451,0.392336063
0.920975755,0.39281389
0.92303206,0.393673979
0.924831326,0.394247372
0.926630593,0.394820764
0.928686897,0.395585288
0.930486164,0.396349811
0.932028392,0.3972099
0.93357062,0.398069989
0.935369887,0.399025643
0.937426191,0.399981298
0.938711382,0.400936952
0.94025361,0.401892606
0.941281762,0.402848261
0.942823991,0.403899481
0.943852143,0.4049507
0.945137333,0.40600192
0.946679562,0.40705314
0.94822179,0.40810436
0.94950698,0.409155579
0.950792171,0.410111234
0.951820323,0.410780192
0.952848475,0.411831412
0.953619589,0.4126915
0.95490478,0.41374272
0.956704046,0.41479394
0.957732198,0.415749594
0.958503313,0.416800814
0.959531465,0.417852034
0.960045541,0.418903254
0.961073693,0.420050039
0.962101845,0.421292389
0.963644074,0.422343609
0.964672226,0.423299264
0.965700378,0.42463718
0.967242607,0.425783965
0.968527797,0.427026315
0.969298911,0.428077535
0.970327063,0.42922432
0.971098178,0.430084409
0.97212633,0.431135629
0.972383368,0.432282414
0.973668558,0.4334292
0.974953749,0.43467155
0.976238939,0.435913901
0.977781167,0.437060686
0.979323396,0.438398602
0.980351548,0.439640953
0.981122662,0.440501042
0.982150814,0.441456696
0.982921929,0.442507916
0.983950081,0.443368005
0.985235271,0.444705921
0.985749347,0.445852706
0.987548614,0.446999491
0.988833804,0.447764015
0.98934788,0.448719669
0.990376032,0.449675323
0.991147147,0.450822108
0.991918261,0.451968894
0.993203451,0.453020113
0.994231603,0.454071333
0.994745679,0.455409249
0.995773832,0.456556034
0.997059022,0.457798385
0.998087174,0.459040736
0.999115326,0.460283086
1.000143479,0.461621002
1.000914593,0.462481091
1.001942745,0.463627877
1.002970897,0.464583531
1.004256088,0.465921447
1.005027202,0.467163798
1.006312392,0.468215017
1.007083506,0.469266237
1.007597583,0.470317457
1.009653887,0.471559808
1.010939077,0.472802158
1.011710192,0.473853378
1.012738344,0.474904598
1.013766496,0.476146948
1.015308724,0.477293734
1.016850953,0.478536084
1.018136143,0.479587304
1.019421333,0.481020786
1.021477638,0.482358702
1.023019866,0.483601052
1.024305057,0.484747837
1.025590247,0.485607926
1.026875437,0.486563581
1.027646551,0.487519235
1.028931742,0.488474889
1.030216932,0.489430544
1.031502122,0.490577329
1.033044351,0.491437418
1.034329541,0.492488638
1.035871769,0.493539857
1.037413998,0.494495512
1.038956226,0.495451166
1.039984378,0.496597951
1.041526607,0.497649171
1.042811797,0.498700391
1.044096987,0.49956048
1.04512514,0.500516134
1.046667368,0.501280657
1.048466635,0.502331877
1.050265901,0.503287532
1.051551091,0.504338751
1.052322205,0.504912144
1.053607396,0.505676667
1.054892586,0.506632322
1.055920738,0.507492411
1.057205929,0.50854363
1.059005195,0.509499285
1.060290385,0.510359374
1.061832614,0.511028332
1.063117804,0.511792855
1.064402994,0.512748509
1.066202261,0.513608598
1.068258565,0.514468687
1.07031487,0.515233211
1.072114136,0.516188865
1.073656365,0.517144519
1.075455631,0.517909043
1.077254898,0.518864697
1.079311202,0.519629221
1.08085343,0.520393744
1.082395659,0.521253833
1.083937887,0.522113922
1.085737154,0.522878445
1.08753642,0.5238341
1.089592725,0.524789754
1.091649029,0.525554278
1.093705334,0.526414366
1.096018676,0.527465586
1.098332019,0.528612371
1.100388323,0.52947246
1.10218759,0.530332549
1.104500932,0.531192638
1.106557237,0.532052727
1.108356503,0.532817251
1.110669846,0.533486209
1.112469112,0.534346297
1.115039493,0.535110821
1.116838759,0.535684214
1.119152102,0.536544302
1.121208406,0.537499957
1.123521749,0.538168915
1.125835091,0.539029004
1.128919548,0.539602396
1.131489929,0.54036692
1.134060309,0.541131443
1.136373652,0.541895967
1.138172918,0.54266049
1.140229223,0.543233883
1.142799604,0.544093972
1.14459887,0.544858495
1.14588406,0.545049626
1.147940365,0.54581415
1.150253707,0.546578673
1.15256705,0.547152066
1.155651507,0.547725458
1.158221887,0.548394416
1.16053523,0.549063374
1.162848573,0.549827898
1.164390801,0.55040129
1.166961182,0.550974683
1.1697886,0.551643641
1.172101943,0.552217034
1.174672323,0.552790426
1.176985666,0.553459384
1.179813085,0.554032777
1.18315458,0.5547973
1.185981998,0.555370693
1.189066455,0.556326347
1.191636836,0.557282002
1.194721292,0.557664263
1.196777597,0.55814209
1.198833901,0.558524352
1.201404282,0.558906614
1.20294651,0.559288876
1.204488739,0.559575572
1.207059119,0.560148965
1.209886538,0.560626792
1.212713957,0.561391315
1.215284337,0.561964708
1.217083604,0.56234697
1.219911023,0.562633666
1.221453251,0.563207058
1.223766593,0.56358932
1.22556586,0.563971582
1.228136241,0.56464054
1.230192545,0.565309498
1.232505888,0.56569176
1.235076268,0.566265152
1.236618497,0.566647414
1.238674801,0.567029676
1.241245182,0.567507503
1.243558524,0.567889765
1.245871867,0.568176461
1.248185209,0.568845419
1.251269666,0.569323246
1.252811895,0.569801073
1.254868199,0.570183335
1.256924504,0.570661162
1.258980808,0.571043424
1.261037113,0.571138989
1.264121569,0.571616817
1.266177874,0.571999078
1.268234178,0.572190209
1.270547521,0.572763602
1.272603825,0.573050298
1.275174206,0.573719256
1.277744587,0.574101518
1.279543853,0.574388214
1.281600158,0.574770476
1.283656462,0.575248303
1.286226843,0.57572613
1.288540185,0.575917261
1.291110566,0.576203957
1.293680947,0.57677735
1.296765403,0.577255177
1.299592822,0.577733004
1.302677279,0.578115266
1.304219507,0.578306397
1.30653285,0.578497528
1.308846192,0.57887979
1.311416573,0.57907092
1.313729915,0.579453182
1.31707141,0.58012214
1.320155867,0.580599967
1.322212172,0.580982229
1.324268476,0.581077795
1.327609971,0.581460056
1.329923313,0.581555622
1.331979618,0.581842318
1.335064075,0.582129014
1.337377417,0.582320145
1.340204836,0.582702407
1.342775217,0.582893538
1.344574483,0.582989103
1.346373749,0.5832758
1.348430054,0.5832758
1.35022932,0.58346693
1.352028587,0.583562496
1.353827853,0.583658061
1.356655272,0.583658061
1.359225653,0.583753627
1.361024919,0.583849192
1.363338262,0.584040323
1.365908642,0.584040323
1.368479023,0.584231454
1.370021251,0.584231454
1.372334594,0.584135888
1.374647936,0.584135888
1.377218317,0.583849192
1.379017583,0.582989103
1.380302774,0.582320145
1.382359078,0.581651187
1.383387231,0.580886664
1.384929459,0.580408837
1.386728725,0.580026575
1.389042068,0.58012214
1.391098372,0.580408837
1.392897639,0.580504402
1.395210981,0.580791098
1.397781362,0.58117336
1.399837667,0.581555622
1.401379895,0.581937883
1.403436199,0.582511276
1.40600658,0.582797972
1.408833999,0.583371365
1.411404379,0.58346693
1.413203646,0.583562496
1.415516988,0.583562496
1.418344407,0.583562496
1.420143674,0.58346693
1.42194294,0.583562496
1.423999244,0.58346693
1.427083701,0.583658061
1.430168158,0.583658061
1.432224463,0.583562496
1.435308919,0.58346693
1.4378793,0.58346693
1.440449681,0.58346693
1.442505985,0.58346693
1.445076366,0.5832758
1.447646746,0.583180234
1.449703051,0.582989103
1.452787508,0.582797972
1.455357888,0.582702407
1.457928269,0.582511276
1.459984573,0.582415711
1.462040878,0.58222458
1.464097182,0.581937883
1.466153487,0.581937883
1.467952753,0.581746753
1.470009058,0.581651187
1.471808324,0.581555622
1.473864629,0.581364491
1.475920933,0.580886664
1.478234276,0.580504402
1.481061694,0.580217706
1.483632075,0.580026575
1.485431342,0.579835444
1.487487646,0.579548748
1.489800989,0.579262051
1.491857293,0.57907092
1.49365656,0.57907092
1.495712864,0.57887979
1.498026207,0.578497528
1.500082511,0.578019701
1.502652892,0.577541873
1.505223272,0.577159612
1.506765501,0.576872915
1.508821805,0.576490654
1.51087811,0.576012827
1.512934414,0.575821696
1.514990719,0.575343869
1.517047023,0.574961607
1.519874442,0.574866041
1.522444823,0.57448378
1.524501127,0.573910387
1.526300394,0.573814822
1.528356698,0.573336994
1.530927079,0.573050298
1.532983383,0.572763602
1.53478265,0.57238134
1.537095992,0.571999078
1.539152297,0.571712382
1.541722677,0.571234555
1.543264906,0.570661162
1.545835286,0.570470031
1.548405667,0.57008777
1.55071901,0.569896639
1.553032352,0.569418812
1.555859771,0.569132115
1.558173113,0.568749854
1.55997238,0.568367592
1.562028684,0.56798533
1.563570913,0.567507503
1.566141293,0.567029676
1.568711674,0.566742979
1.571282055,0.566265152
1.573338359,0.565882891
1.575394664,0.565309498
1.577708006,0.565022802
1.580278387,0.564353844
1.582077653,0.564067147
1.584133958,0.563493755
1.586190262,0.563111493
1.587732491,0.562729231
1.590302871,0.562442535
1.592359176,0.562060273
1.594158442,0.561582446
1.595957709,0.561200184
1.598014013,0.560817923
1.600327356,0.560340095
1.602640698,0.560053399
1.605211079,0.559480007
1.60778146,0.55919331
1.609837764,0.558811049
1.611894069,0.558428787
1.614207411,0.558046525
1.616006678,0.557664263
1.618062982,0.557282002
1.620119287,0.556708609
1.622946705,0.556326347
1.62500301,0.55584852
1.627316352,0.555466258
1.629115619,0.554988431
1.631943037,0.5547973
1.633999342,0.554415039
1.63554157,0.554032777
1.637340837,0.553650515
1.639911217,0.553363819
1.642481598,0.553077122
1.644537903,0.552599295
1.646594207,0.552217034
1.648393473,0.551739206
1.650963854,0.551643641
1.653534235,0.551356945
1.655847577,0.550974683
1.65816092,0.55040129
1.659703148,0.550114594
1.662787605,0.549827898
1.664586871,0.549445636
1.6661291,0.54915894
1.667928366,0.549063374
1.669470595,0.548872243
1.671526899,0.548489982
1.67409728,0.548394416
1.677181736,0.548203285
1.679238041,0.54810772
1.681808422,0.547821024
1.684378802,0.547534327
1.686949183,0.547152066
1.689005487,0.546960935
1.691061792,0.546578673
1.692861058,0.546196411
1.695688477,0.54600528
1.69800182,0.54581415
1.701086276,0.545336322
1.703656657,0.545336322
1.706227038,0.545240757
1.70854038,0.544858495
1.711110761,0.54476293
1.714195218,0.544476233
1.716765598,0.544189537
1.719593017,0.543807275
1.723705626,0.543520579
1.726276007,0.543329448
1.728846387,0.543138317
1.731673806,0.543042752
1.735272339,0.542947187
1.73912791,0.542851621
1.742469404,0.542564925
1.745296823,0.542373794
1.748638318,0.542182663
1.751465737,0.542278228
1.754293155,0.542182663
1.757377612,0.542278228
1.760462069,0.542182663
1.764060602,0.542182663
1.767402097,0.541991532
1.770743591,0.541895967
1.7748562,0.541800401
1.778711771,0.542087098
1.782053266,0.542373794
1.785651799,0.542373794
1.788736256,0.542469359
1.792077751,0.54266049
1.795162207,0.542947187
1.798246664,0.543042752
1.802102235,0.543329448
1.805186692,0.543520579
1.808271149,0.543998406
1.811869681,0.544189537
1.815211176,0.544476233
1.819066747,0.544858495
1.82266528,0.545049626
1.825235661,0.545240757
1.828063079,0.545623019
1.83063346,0.546196411
1.833717917,0.546674238
1.83731645,0.547152066
1.83988683,0.547629893
1.842714249,0.54810772
1.846055744,0.548681113
1.848883163,0.54915894
1.851710581,0.549445636
1.854280962,0.549827898
1.857108381,0.550210159
1.860192837,0.550783552
1.862249142,0.55145251
1.865076561,0.551834772
1.867646941,0.552312599
1.869960284,0.552694861
1.872530664,0.553077122
1.874844007,0.55355495
1.877157349,0.554032777
1.879213654,0.554319473
1.882812187,0.554701735
1.885639606,0.555179562
1.888467024,0.555561824
1.891037405,0.556230782
1.894121862,0.556517478
1.897463356,0.557090871
1.900804851,0.557473132
1.902604118,0.55795096
1.905174498,0.558237656
1.907487841,0.558715483
1.909544145,0.55919331
1.912628602,0.559766703
1.915456021,0.560340095
1.917769363,0.560913488
1.920082706,0.56129575
1.92213901,0.561964708
1.924452353,0.562442535
1.926765696,0.563015928
1.929336076,0.563780451
1.931135343,0.564544975
1.932934609,0.565213933
1.934990914,0.56569176
1.937047218,0.566456283
1.939103523,0.567029676
1.940645751,0.567698634
1.942702056,0.568558723
1.944501322,0.569132115
1.946557626,0.569992204
1.949128007,0.570661162
1.952469502,0.571425686
1.95401173,0.572094644
1.956068035,0.572954733
1.957096187,0.573528125
1.95940953,0.574292649
1.961722872,0.575057172
1.963779177,0.576012827
1.965835481,0.576586219
1.968148824,0.577350743
1.970462166,0.578019701
1.972518471,0.578688659
1.975088851,0.579644313
1.976117004,0.580504402
1.978944422,0.581460056
1.980743689,0.582129014
1.982799993,0.583084669
1.984085184,0.583658061
1.986912602,0.584422585
1.988454831,0.585378239
1.990254097,0.586142763
1.992310402,0.586907286
1.994109668,0.587576244
1.995394858,0.588340768
1.997194125,0.589296422
1.998736353,0.590060945
2.001306734,0.590729903
2.003106,0.591303296
2.004905267,0.592163385
2.006447495,0.592832343
2.007989724,0.593501301
2.009531952,0.594170259
2.011588256,0.595030348
2.014158637,0.595890437
2.017243094,0.597037222
2.019813474,0.598088442
2.021869779,0.599139662
2.023412007,0.59980862
2.026239426,0.600859839
2.028038692,0.601815494
2.029580921,0.602580017
2.03240834,0.603822368
2.034721682,0.604682457
2.036777987,0.605542546
2.039091329,0.606593765
2.04166171,0.60754942
2.043460976,0.608218378
2.045517281,0.608982901
2.047316547,0.60984299
2.049372852,0.610798644
2.051943232,0.611372037
2.054513613,0.61213656
2.056312879,0.612901084
2.05888326,0.614047869
2.061967717,0.614621262
2.064024021,0.615385785
2.06685144,0.61634144
2.069164783,0.617297094
2.070964049,0.618061617
2.072763315,0.618539445
2.07481962,0.619208403
2.076618886,0.620068491
2.079960381,0.620641884
2.082016686,0.621501973
2.08407299,0.622266496
2.086386333,0.623222151
2.088699675,0.623986674
2.091270056,0.624751198
2.093840437,0.625515721
2.096410817,0.626280245
2.098467122,0.627044768
2.100780464,0.627618161
2.103093807,0.628764946
2.106178264,0.629338339
2.109005682,0.630102862
2.111061987,0.630867385
2.113118291,0.631631909
2.116459786,0.632300867
2.119287205,0.633256521
2.121857585,0.633734348
2.124685004,0.634498872
2.126741309,0.635263395
2.129054651,0.636027919
2.131625032,0.636601312
2.134195412,0.637365835
2.136508755,0.637843662
2.13856506,0.638321489
2.141392478,0.639181578
2.143705821,0.639850536
2.145762125,0.640423929
2.14781843,0.641092887
2.150645848,0.641761845
2.153216229,0.642335238
2.155529572,0.64290863
2.15835699,0.643577588
2.160413295,0.644055415
2.163497752,0.644533242
2.166582208,0.645393331
2.169409627,0.646062289
2.171980008,0.646922378
2.174807426,0.647495771
2.177891883,0.648069164
2.180205226,0.648451425
2.183289682,0.648642556
2.185860063,0.649024818
2.18894452,0.64940708
2.192028977,0.64959821
2.195113433,0.64959821
2.19819789,0.649789341
2.200768271,0.649980472
2.204109766,0.650171603
2.206937184,0.650171603
2.209507565,0.650744996
2.212592022,0.651222823
2.215676478,0.65170065
2.218246859,0.651891781
2.221074278,0.652274043
2.224672811,0.65275187
2.228271343,0.652943001
2.232126914,0.653325262
2.235725447,0.653611959
2.238809904,0.654089786
2.242408437,0.654663178
2.245492894,0.654949875
2.249091427,0.655332137
2.252175883,0.655714398
2.25526034,0.655905529
2.258858873,0.656287791
2.26194333,0.656670053
2.26451371,0.656861183
2.268112243,0.657052314
2.2711967,0.657339011
2.275052271,0.657721272
2.278650804,0.657816838
2.281735261,0.657912403
2.285590832,0.658007969
2.289189364,0.658103534
2.292273821,0.65839023
2.296129392,0.658581361
2.300499039,0.658963623
2.303326458,0.659537016
2.306667953,0.659154754
2.309238333,0.658772492
2.311808714,0.65839023
2.31360798,0.657816838
2.316178361,0.657434576
2.31900578,0.656765618
2.321062084,0.656574487
2.324146541,0.656861183
2.326716922,0.657721272
2.328773226,0.658581361
2.330315454,0.65944145
2.332885835,0.660301539
2.334428063,0.661161628
2.335970292,0.662021717
2.33751252,0.66278624
2.340082901,0.663646329
2.341625129,0.664697549
2.344452548,0.665748769
2.347022929,0.666704423
2.348565157,0.667564512
2.350621461,0.668520166
2.353191842,0.66928469
2.355248147,0.670049213
2.357304451,0.670813737
2.359360756,0.671387129
2.362188174,0.67157826
2.365786707,0.671769391
2.368871164,0.671769391
2.372469697,0.671769391
2.375811192,0.672056087
2.378381572,0.671960522
2.381208991,0.671960522
2.385578638,0.671960522
2.388406057,0.672056087
2.390976437,0.672247218
2.393803856,0.672533915
2.397402389,0.672916176
2.399201655,0.673107307
2.402286112,0.6736807
2.404599455,0.674062961
2.406655759,0.674158527
2.408197988,0.674636354
2.41179652,0.674827485
2.415395053,0.675018616
2.418993586,0.675018616
2.421563967,0.675209747
2.424905462,0.675018616
2.429275109,0.675209747
2.433387718,0.675592008
2.436986251,0.675496443
2.44109886,0.675209747
2.444183316,0.675687574
2.447267773,0.67597427
2.45035223,0.676260966
2.453436687,0.676260966
2.457292258,0.676356532
2.4596056,0.676165401
2.462175981,0.675783139
2.463975247,0.675496443
2.46628859,0.675114181
2.470401199,0.675018616
2.472457503,0.67492305
2.47682715,0.67492305
2.480939759,0.67492305
2.484024216,0.674827485
2.487622749,0.674636354
2.489679053,0.674636354
2.492506472,0.674636354
2.495333891,0.674445223

