Brown University Keck/NASA Relab Spectrum PO-LAM-089-ID/CKPO89,
1.32,0.25366
1.325,0.25887
1.33,0.26455
1.335,0.2712
1.34,0.27879
1.345,0.28674
1.35,0.29456
1.355,0.30099
1.36,0.30849
1.365,0.31608
1.37,0.32284
1.375,0.33362
1.38,0.34212
1.385,0.35261
1.39,0.36121
1.395,0.36854
1.4,0.37507
1.405,0.38526
1.41,0.39511
1.415,0.4051
1.42,0.41557
1.425,0.42547
1.43,0.43536
1.435,0.44437
1.44,0.45263
1.445,0.46084
1.45,0.47067
1.455,0.48041
1.46,0.49186
1.465,0.50136
1.47,0.51132
1.475,0.52099
1.48,0.52769
1.485,0.53652
1.49,0.54348
1.495,0.55163
1.5,0.5622
1.505,0.57038
1.51,0.57936
1.515,0.58717
1.52,0.59516
1.525,0.60059
1.53,0.60571
1.535,0.61171
1.54,0.61801
1.545,0.6244
1.55,0.63352
1.555,0.64035
1.56,0.64676
1.565,0.65185
1.57,0.65613
1.575,0.65985
1.58,0.66311
1.585,0.66638
1.59,0.67045
1.595,0.67426
1.6,0.68016
1.605,0.68599
1.61,0.69019
1.615,0.69473
1.62,0.69703
1.625,0.69847
1.63,0.69985
1.635,0.70078
1.64,0.70262
1.645,0.70516
1.65,0.7061
1.655,0.70704
1.66,0.70797
1.665,0.7065
1.67,0.70898
1.675,0.71037
1.68,0.71178
1.685,0.71354
1.69,0.71485
1.695,0.71507
1.7,0.71627
1.705,0.71759
1.71,0.71838
1.715,0.72025
1.72,0.71939
1.725,0.72022
1.73,0.72087
1.735,0.72083
1.74,0.72295
1.745,0.72371
1.75,0.7248
1.755,0.72662
1.76,0.72521
1.765,0.727
1.77,0.7273
1.775,0.72932
1.78,0.73045
1.785,0.73041
1.79,0.73067
1.795,0.73242
1.8,0.73246
1.805,0.73392
1.81,0.73402
1.815,0.73674
1.82,0.73528
1.825,0.73706
1.83,0.73706
1.835,0.73895
1.84,0.73681
1.845,0.7406
1.85,0.73753
1.855,0.74024
1.86,0.73948
1.865,0.74572
1.87,0.73989
1.875,0.7379
1.88,0.74329
1.885,0.74117
1.89,0.74082
1.895,0.74023
1.9,0.73895
1.905,0.73807
1.91,0.73996
1.915,0.73936
1.92,0.73903
1.925,0.73967
1.93,0.7384
1.935,0.74081
1.94,0.73956
1.945,0.74258
1.95,0.7404
1.955,0.74025
1.96,0.7414
1.965,0.74267
1.97,0.74223
1.975,0.74337
1.98,0.74324
1.985,0.74459
1.99,0.74533
1.995,0.74576
2,0.74549
2.005,0.74609
2.01,0.74666
2.015,0.74664
2.02,0.74604
2.025,0.74646
2.03,0.74645
2.035,0.7463
2.04,0.74579
2.045,0.74488
2.05,0.74566
2.055,0.74556
2.06,0.74526
2.065,0.74479
2.07,0.74443
2.075,0.74497
2.08,0.74472
2.085,0.74458
2.09,0.74445
2.095,0.74358
2.1,0.74504
2.105,0.74412
2.11,0.74434
2.115,0.745
2.12,0.74522
2.125,0.74418
2.13,0.74296
2.135,0.74148
2.14,0.74201
2.145,0.74317
2.15,0.74376
2.155,0.74207
2.16,0.74026
2.165,0.74044
2.17,0.74129
2.175,0.74366
2.18,0.74395
2.185,0.74365
2.19,0.74245
2.195,0.74247
2.2,0.74205
2.205,0.74185
2.21,0.74198
2.215,0.74091
2.22,0.7417
2.225,0.74115
2.23,0.74065
2.235,0.74004
2.24,0.7391
2.245,0.73805
2.25,0.73583
2.255,0.73278
2.26,0.72864
2.265,0.72523
2.27,0.7211
2.275,0.71894
2.28,0.71568
2.285,0.70779
2.29,0.70621
2.295,0.7023
2.3,0.70161
2.305,0.69998
2.31,0.70115
2.315,0.70052
2.32,0.70226
2.325,0.70598
2.33,0.7094
2.335,0.71075
2.34,0.71175
2.345,0.71277
2.35,0.7116
2.355,0.71244
2.36,0.71359
2.365,0.71248
2.37,0.71176
2.375,0.71167
2.38,0.7114
2.385,0.71167
2.39,0.71769
2.395,0.71592
2.4,0.71504
2.405,0.71612
2.41,0.71776
2.415,0.71974
2.42,0.71932
2.425,0.71801
2.43,0.7174
2.435,0.7152
2.44,0.7136
2.445,0.70973
2.45,0.706
2.455,0.70193
2.46,0.69866
2.465,0.69835
2.47,0.70132
2.475,0.70258
2.48,0.70628
2.485,0.70385
2.49,0.70517
2.495,0.7043
2.5,0.70402
2.505,0.70133
2.51,0.70396
2.515,0.70307
2.52,0.7062
2.525,0.70792
2.53,0.71193
2.535,0.70944
2.54,0.71865
2.545,0.71438
2.55,0.71547
2.555,0.72104
2.56,0.71974
2.565,0.71157
2.57,0.725
2.575,0.71755
2.58,0.72719
2.585,0.71761
2.59,0.73512
2.595,0.71312
2.6,0.74468

